Entry Number,File Name,SMILES,Ered,HOMO,Gsol,Absorption Wavelength
21,BTZ-Neutral-wb97xd-1021,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(N(C)C)c2nsnc12,1.84474328,-7.4631588,-0.65940714,418.95
22,BTZ-Neutral-wb97xd-1022,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.63530262,-9.1711305,-0.78484524,332.19
23,BTZ-Neutral-wb97xd-1023,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.16364448,-8.6993091,-0.98481153,335.26
24,BTZ-Neutral-wb97xd-1024,CCOCN(C(C)=O)c1c(OC)c(SC)c(C)c2nsnc12,1.77309935,-8.280003,-0.75605706,333.44
25,BTZ-Neutral-wb97xd-1025,CCOCN(C(C)=O)c1c(OC)c(SC)c(C(F)(F)F)c2nsnc12,2.19210614,-8.5869318,-0.80557926,338.96
26,BTZ-Neutral-wb97xd-1026,CCOCN(C(C)=O)c1c(OC)c(SC)c(C#N)c2nsnc12,2.35071323,-8.4916968,-0.78797439,363.22
27,BTZ-Neutral-wb97xd-1027,CCOCN(C(C)=O)c1c(OC)c(SC)c(OC)c2nsnc12,1.8665657,-7.9611018,-0.70697022,369.51
28,BTZ-Neutral-wb97xd-1028,CCOCN(C(C)=O)c1c(OC)c(SC)c(OC(F)(F)F)c2nsnc12,1.98903791,-8.4789081,-0.68710692,334.72
29,BTZ-Neutral-wb97xd-1029,CCOCN(C(C)=O)c1c(OC)c(SC)c(SC)c2nsnc12,1.97608595,-7.9929375,-0.71186802,383.05
30,BTZ-Neutral-wb97xd-1030,CCOCN(C(C)=O)c1c(OC)c(SC)c(SC(F)(F)F)c2nsnc12,2.16557639,-8.4157809,-0.74370372,354.14
31,BTZ-Neutral-wb97xd-1031,CCOCN(C(C)=O)c1c(OC)c(SC)c(Br)c2nsnc12,2.0262884,-8.2386438,-0.73741821,347.45
32,BTZ-Neutral-wb97xd-1032,CCOCN(C(C)=O)c1c(OC)c(SC)c(N(C)C)c2nsnc12,1.82996825,-7.3143201,-0.81360621,432.9
33,BTZ-Neutral-wb97xd-1033,CCOCN(C(C)=O)c1c(OC)c(SC)c([N+](=O)[O-])c2nsnc12,2.32546235,-8.737131,-0.84876153,337.34
34,BTZ-Neutral-wb97xd-1034,CCOCN(C(C)=O)c1c(OC)c(SC)c(S(=O)(=O)N(C)C)c2nsnc12,2.07967442,-8.225583,-1.00135521,353.12
35,BTZ-Neutral-wb97xd-1035,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C)c2nsnc12,1.90689092,-8.4209508,-0.63758472,338.13
36,BTZ-Neutral-wb97xd-1036,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12,2.32086386,-8.7063837,-0.72509208,343.64
37,BTZ-Neutral-wb97xd-1037,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C#N)c2nsnc12,2.51840846,-8.7608037,-0.70362339,363.69
38,BTZ-Neutral-wb97xd-1038,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(OC)c2nsnc12,2.06332121,-8.1923868,-0.63788403,363.56
39,BTZ-Neutral-wb97xd-1039,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.36807321,-8.5833945,-0.66604638,347.26
40,BTZ-Neutral-wb97xd-1040,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(SC)c2nsnc12,2.03975735,-8.1942915,-0.72335064,380.59
41,BTZ-Neutral-wb97xd-1041,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.29422527,-8.614686,-0.62144919,358.54
42,BTZ-Neutral-wb97xd-1042,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(Br)c2nsnc12,2.1332237,-8.5779525,-0.7441935,345.51
43,BTZ-Neutral-wb97xd-1043,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(N(C)C)c2nsnc12,1.87298726,-7.523565,-0.81417762,412.54
44,BTZ-Neutral-wb97xd-1044,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.55976766,-8.992905,-0.77298168,343.67
45,BTZ-Neutral-wb97xd-1045,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.30693234,-8.8546782,-0.97577781,336.91
46,BTZ-Neutral-wb97xd-1046,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C)c2nsnc12,1.67829971,-7.7306331,-0.76022019,365.75
47,BTZ-Neutral-wb97xd-1047,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C(F)(F)F)c2nsnc12,1.94517539,-8.2321134,-0.79518504,363.17
48,BTZ-Neutral-wb97xd-1048,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C#N)c2nsnc12,1.99034399,-7.787502,-0.92799705,383.51
49,BTZ-Neutral-wb97xd-1049,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(OC)c2nsnc12,1.70814908,-7.5423399,-0.67597803,387.29
50,BTZ-Neutral-wb97xd-1050,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(OC(F)(F)F)c2nsnc12,1.85426678,-7.8177051,-0.72941847,367.38
51,BTZ-Neutral-wb97xd-1051,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC)c2nsnc12,1.72406693,-7.4438397,-0.80059983,405.26
52,BTZ-Neutral-wb97xd-1052,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC(F)(F)F)c2nsnc12,1.87304168,-7.7442381,-0.73420743,383.89
53,BTZ-Neutral-wb97xd-1053,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(Br)c2nsnc12,1.79279939,-7.5722709,-0.7580706,392.53
54,BTZ-Neutral-wb97xd-1054,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(N(C)C)c2nsnc12,1.72591721,-7.0822188,-0.74860152,429.61
55,BTZ-Neutral-wb97xd-1055,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c([N+](=O)[O-])c2nsnc12,2.12212202,-7.9390617,-0.91714026,411.41
56,BTZ-Neutral-wb97xd-1056,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,2.046968,-8.0288547,-1.00290618,393.41
57,BTZ-Neutral-wb97xd-1057,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C)c2nsnc12,1.90128566,-8.4742824,-0.68245401,335.49
58,BTZ-Neutral-wb97xd-1058,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C(F)(F)F)c2nsnc12,2.14677428,-9.0543996,-0.62319063,312.38
59,BTZ-Neutral-wb97xd-1059,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C#N)c2nsnc12,2.36426381,-8.9852862,-0.68275332,321.02
60,BTZ-Neutral-wb97xd-1060,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(OC)c2nsnc12,1.91048264,-8.2302087,-0.6247416,360.47
61,BTZ-Neutral-wb97xd-1061,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(OC(F)(F)F)c2nsnc12,2.09110262,-8.9501853,-0.6478701,314.8
62,BTZ-Neutral-wb97xd-1062,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(SC)c2nsnc12,2.03842406,-8.3069409,-0.68816811,359.54
63,BTZ-Neutral-wb97xd-1063,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(SC(F)(F)F)c2nsnc12,2.17727669,-9.1014729,-0.60716394,305.38
64,BTZ-Neutral-wb97xd-1064,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(Br)c2nsnc12,1.96229048,-8.7169956,-0.68245401,323.04
65,BTZ-Neutral-wb97xd-1065,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(N(C)C)c2nsnc12,1.86319166,-7.6149906,-0.63992478,410.58
66,BTZ-Neutral-wb97xd-1066,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c([N+](=O)[O-])c2nsnc12,2.43710498,-9.0429714,-0.69717462,337.72
67,BTZ-Neutral-wb97xd-1067,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(S(=O)(=O)N(C)C)c2nsnc12,2.2232888,-8.8065165,-0.98181843,328.43
68,BTZ-Neutral-wb97xd-1068,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C)c2nsnc12,2.28851117,-8.8144074,-0.64142133,327.9
69,BTZ-Neutral-wb97xd-1069,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2nsnc12,2.51348345,-9.0941262,-0.639435,331.7
70,BTZ-Neutral-wb97xd-1070,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C#N)c2nsnc12,2.73467354,-9.2905824,-0.70955517,340.02
71,BTZ-Neutral-wb97xd-1071,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(OC)c2nsnc12,2.1740387,-8.4797244,-0.60362664,351.7
72,BTZ-Neutral-wb97xd-1072,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.53522424,-9.1447368,-0.56645778,323.19
73,BTZ-Neutral-wb97xd-1073,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(SC)c2nsnc12,2.36780111,-8.6125092,-0.68751507,373.05
74,BTZ-Neutral-wb97xd-1074,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.59957589,-8.9760348,-0.58879719,341.48
75,BTZ-Neutral-wb97xd-1075,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(Br)c2nsnc12,2.44496867,-8.8277403,-0.62218386,341.3
76,BTZ-Neutral-wb97xd-1076,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(N(C)C)c2nsnc12,2.23659449,-8.3940129,-0.6696381,403.59
77,BTZ-Neutral-wb97xd-1077,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.66232215,-9.4127553,-0.68775996,316
78,BTZ-Neutral-wb97xd-1078,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.5734815,-9.2035104,-0.95517984,317.64
79,BTZ-Neutral-wb97xd-1079,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C)c2nsnc12,2.3100887,-8.7844764,-0.715623,330.19
80,BTZ-Neutral-wb97xd-1080,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C(F)(F)F)c2nsnc12,2.7166061,-9.2445975,-0.68969187,333.81
81,BTZ-Neutral-wb97xd-1081,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C#N)c2nsnc12,2.95888394,-9.0783444,-0.80318478,361.5
82,BTZ-Neutral-wb97xd-1082,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(OC)c2nsnc12,2.29134101,-8.5564566,-0.71469786,348.15
83,BTZ-Neutral-wb97xd-1083,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(OC(F)(F)F)c2nsnc12,2.60324924,-9.0688209,-0.68122956,334.59
84,BTZ-Neutral-wb97xd-1084,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(SC)c2nsnc12,2.42469722,-8.5020366,-0.77216538,381.35
85,BTZ-Neutral-wb97xd-1085,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(SC(F)(F)F)c2nsnc12,2.66923349,-9.2611956,-0.63548955,333.4
86,BTZ-Neutral-wb97xd-1086,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(Br)c2nsnc12,2.55340052,-9.1158942,-0.69350127,331.37
87,BTZ-Neutral-wb97xd-1087,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(N(C)C)c2nsnc12,2.16552197,-7.7431497,-0.82016382,408.98
88,BTZ-Neutral-wb97xd-1088,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c([N+](=O)[O-])c2nsnc12,3.10995386,-9.229632,-0.81510276,355.99
89,BTZ-Neutral-wb97xd-1089,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,2.66825393,-9.0141288,-1.09422294,342.29
90,BTZ-Neutral-wb97xd-1090,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C)c2nsnc12,1.91861843,-8.4799965,-0.64490421,330.82
91,BTZ-Neutral-wb97xd-1091,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C(F)(F)F)c2nsnc12,2.24930156,-8.9939934,-0.57660711,318.13
92,BTZ-Neutral-wb97xd-1092,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C#N)c2nsnc12,2.35454984,-9.0100473,-0.73181295,331.92
93,BTZ-Neutral-wb97xd-1093,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(OC)c2nsnc12,1.99434386,-8.402448,-0.69671205,342.22
94,BTZ-Neutral-wb97xd-1094,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(OC(F)(F)F)c2nsnc12,2.21196944,-9.0124962,-0.65986971,312.8
95,BTZ-Neutral-wb97xd-1095,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(SC)c2nsnc12,2.09395967,-8.2288482,-0.73483326,358.63
96,BTZ-Neutral-wb97xd-1096,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(SC(F)(F)F)c2nsnc12,2.17899092,-8.772504,-0.69227682,331.79
97,BTZ-Neutral-wb97xd-1097,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(Br)c2nsnc12,1.96476659,-8.7820275,-0.70599066,319.86
98,BTZ-Neutral-wb97xd-1098,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(N(C)C)c2nsnc12,1.86313724,-7.6141743,-0.75437004,408.66
99,BTZ-Neutral-wb97xd-1099,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c([N+](=O)[O-])c2nsnc12,2.47922606,-9.1093638,-0.77798832,334.17
100,BTZ-Neutral-wb97xd-1100,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(S(=O)(=O)N(C)C)c2nsnc12,2.26693364,-8.7567222,-1.00799445,330.27
101,BTZ-Neutral-wb97xd-1101,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(C)c2nsnc12,2.11629908,-8.8176726,-0.61383039,320.39
102,BTZ-Neutral-wb97xd-1102,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(C(F)(F)F)c2nsnc12,2.50540208,-9.1060986,-0.54577818,317.11
103,BTZ-Neutral-wb97xd-1103,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(C#N)c2nsnc12,2.68267523,-9.039162,-0.55712475,344.3
104,BTZ-Neutral-wb97xd-1104,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(OC)c2nsnc12,2.04868223,-8.5534635,-0.64710822,341.02
105,BTZ-Neutral-wb97xd-1105,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.43955388,-9.0021564,-0.48164421,324.56
106,BTZ-Neutral-wb97xd-1106,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(SC)c2nsnc12,2.23515236,-8.5395864,-0.612225,360.89
107,BTZ-Neutral-wb97xd-1107,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.49163382,-9.1216083,-0.46695081,312.41
108,BTZ-Neutral-wb97xd-1108,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(Br)c2nsnc12,2.29144985,-8.8846092,-0.62640141,332.19
109,BTZ-Neutral-wb97xd-1109,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(N(C)C)c2nsnc12,1.95660359,-7.624242,-0.66427773,410.11
110,BTZ-Neutral-wb97xd-1110,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.77080842,-9.2897661,-0.65393793,338.02
111,BTZ-Neutral-wb97xd-1111,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.37724298,-8.9773953,-0.92688144,325.91
112,BTZ-Neutral-wb97xd-1112,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(C)c2nsnc12,1.92999221,-8.4503376,-0.66952926,328.7
113,BTZ-Neutral-wb97xd-1113,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(C(F)(F)F)c2nsnc12,2.38494341,-8.7705993,-0.60139542,338.53
114,BTZ-Neutral-wb97xd-1114,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(C#N)c2nsnc12,2.53468004,-8.671827,-0.78435546,362.58
115,BTZ-Neutral-wb97xd-1115,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(OC)c2nsnc12,2.04421979,-8.084091,-0.71257548,371.39
116,BTZ-Neutral-wb97xd-1116,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(OC(F)(F)F)c2nsnc12,2.24483912,-8.6546847,-0.69314754,338.22
117,BTZ-Neutral-wb97xd-1117,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(SC)c2nsnc12,2.1228839,-7.9646391,-0.79676322,390.52
118,BTZ-Neutral-wb97xd-1118,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(SC(F)(F)F)c2nsnc12,2.35465868,-8.671827,-0.62583,350.04
119,BTZ-Neutral-wb97xd-1119,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(Br)c2nsnc12,2.14462469,-8.6266584,-0.70362339,336.48
120,BTZ-Neutral-wb97xd-1120,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(N(C)C)c2nsnc12,1.95733826,-7.4710497,-0.76092765,432.35
121,BTZ-Neutral-wb97xd-1121,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c([N+](=O)[O-])c2nsnc12,2.51451743,-8.9403897,-0.78538944,334.95
122,BTZ-Neutral-wb97xd-1122,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC)c(S(=O)(=O)N(C)C)c2nsnc12,2.30897309,-8.4410862,-1.00091985,365.84
123,BTZ-Neutral-wb97xd-1123,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(C)c2nsnc12,2.19210614,-8.8720926,-0.63404742,317.85
124,BTZ-Neutral-wb97xd-1124,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12,2.60012009,-9.0062379,-0.61791189,330.41
125,BTZ-Neutral-wb97xd-1125,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(C#N)c2nsnc12,2.72972132,-8.9569878,-0.66278118,360.86
126,BTZ-Neutral-wb97xd-1126,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(OC)c2nsnc12,2.15316863,-8.2968732,-0.63176178,366.18
127,BTZ-Neutral-wb97xd-1127,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,2.51753774,-9.0802491,-0.56036274,315.32
128,BTZ-Neutral-wb97xd-1128,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(SC)c2nsnc12,2.33411513,-8.3047641,-0.62542185,385.25
129,BTZ-Neutral-wb97xd-1129,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(SC(F)(F)F)c2nsnc12,2.45789342,-8.9567157,-0.6296394,343.13
130,BTZ-Neutral-wb97xd-1130,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(Br)c2nsnc12,2.41481999,-9.0973914,-0.64523073,322.49
131,BTZ-Neutral-wb97xd-1131,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(N(C)C)c2nsnc12,2.03396162,-7.7148513,-0.63012918,413.67
132,BTZ-Neutral-wb97xd-1132,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12,2.82971807,-9.0516786,-0.6462375,341.7
133,BTZ-Neutral-wb97xd-1133,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,2.51092571,-8.8944048,-0.90938541,341.42
134,BTZ-Neutral-wb97xd-1134,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(C)c2nsnc12,1.88449709,-7.8549828,-0.70267104,368.81
135,BTZ-Neutral-wb97xd-1135,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(C(F)(F)F)c2nsnc12,2.20990148,-8.2277598,-0.65478144,383.87
136,BTZ-Neutral-wb97xd-1136,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(C#N)c2nsnc12,2.20285409,-7.9502178,-0.84103389,394.24
137,BTZ-Neutral-wb97xd-1137,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(OC)c2nsnc12,1.85021249,-7.8348474,-0.7343979,370.36
138,BTZ-Neutral-wb97xd-1138,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(OC(F)(F)F)c2nsnc12,2.00547275,-8.0843631,-0.75679173,365.64
139,BTZ-Neutral-wb97xd-1139,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(SC)c2nsnc12,2.01320039,-7.9279056,-0.73401696,372.23
140,BTZ-Neutral-wb97xd-1140,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(SC(F)(F)F)c2nsnc12,2.08693949,-8.0402829,-0.66433215,374.93
141,BTZ-Neutral-wb97xd-1141,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(Br)c2nsnc12,2.10696605,-8.0876283,-0.6369861,367.15
142,BTZ-Neutral-wb97xd-1142,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(N(C)C)c2nsnc12,1.8559538,-7.2490161,-0.61769421,443.6
143,BTZ-Neutral-wb97xd-1143,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c([N+](=O)[O-])c2nsnc12,2.2719947,-8.2206852,-0.79085865,402.75
144,BTZ-Neutral-wb97xd-1144,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,2.19501761,-7.9428711,-1.0146609,394.97
145,BTZ-Neutral-wb97xd-1145,CCOCN(C(C)=O)c1c(SC)c(C)c(C)c2nsnc12,1.84400861,-8.0185149,-0.73801683,348.67
146,BTZ-Neutral-wb97xd-1146,CCOCN(C(C)=O)c1c(SC)c(C)c(C(F)(F)F)c2nsnc12,2.07962,-8.4419025,-0.71692908,335.58
147,BTZ-Neutral-wb97xd-1147,CCOCN(C(C)=O)c1c(SC)c(C)c(C#N)c2nsnc12,2.2352612,-8.3028594,-0.84040806,362.49
